Learning_Rate,Batch_Size,Metric,Test_Used,p_value,Best_Method,Best_Mean,Significant,Second_Best,Mean_Difference
0.01,128.0,Train_Accuracy,Kruskal-Wallis,5e-05,FixedL1,0.9996,True,Adaptive,0.0002
0.01,128.0,Train_Precision,Kruskal-Wallis,0.00043,FixedL1,0.9995,True,Adaptive,0.0001
0.01,128.0,Train_Recall,Kruskal-Wallis,4e-05,FixedL1,0.9996,True,Adaptive,0.0001
0.01,128.0,Train_F1,Kruskal-Wallis,7e-05,FixedL1,0.9996,True,Adaptive,0.0001
0.01,128.0,Train_MCC,Kruskal-Wallis,5e-05,FixedL1,0.9995,True,Adaptive,0.0002
0.01,128.0,Val_Accuracy,Kruskal-Wallis,7e-05,FixedL1,0.9996,True,Adaptive,0.0001
0.01,128.0,Val_Precision,Kruskal-Wallis,0.00086,FixedL1,0.9996,True,Adaptive,0.0001
0.01,128.0,Val_Recall,Kruskal-Wallis,8e-05,FixedL1,0.9996,True,Adaptive,0.0001
0.01,128.0,Val_F1,Kruskal-Wallis,0.00022,FixedL1,0.9996,True,Adaptive,0.0001
0.01,128.0,Val_MCC,Kruskal-Wallis,7e-05,FixedL1,0.9995,True,Adaptive,0.0002
0.01,128.0,Test_Accuracy,Kruskal-Wallis,4e-05,FixedL1,0.9997,True,Adaptive,0.0003
0.01,128.0,Test_Precision,Kruskal-Wallis,0.00036,FixedL1,0.9996,True,ElasticNet,0.0002
0.01,128.0,Test_Recall,Kruskal-Wallis,5e-05,FixedL1,0.9996,True,Adaptive,0.0003
0.01,128.0,Test_F1,Kruskal-Wallis,9e-05,FixedL1,0.9996,True,Adaptive,0.0003
0.01,128.0,Test_MCC,Kruskal-Wallis,4e-05,FixedL1,0.9995,True,Adaptive,0.0004
0.01,256.0,Train_Accuracy,Kruskal-Wallis,0.01211,FixedL1,0.9996,True,ElasticNet,0.0003
0.01,256.0,Train_Precision,Kruskal-Wallis,0.02649,FixedL1,0.9995,True,ElasticNet,0.0002
0.01,256.0,Train_Recall,Kruskal-Wallis,0.00822,FixedL1,0.9996,True,ElasticNet,0.0003
0.01,256.0,Train_F1,Kruskal-Wallis,0.01764,FixedL1,0.9995,True,ElasticNet,0.0003
0.01,256.0,Train_MCC,Kruskal-Wallis,0.01187,FixedL1,0.9995,True,ElasticNet,0.0004
0.01,256.0,Val_Accuracy,Kruskal-Wallis,0.01434,FixedL1,0.9996,True,ElasticNet,0.0003
0.01,256.0,Val_Precision,Kruskal-Wallis,0.03729,FixedL1,0.9995,True,ElasticNet,0.0002
0.01,256.0,Val_Recall,Kruskal-Wallis,0.01818,FixedL1,0.9996,True,ElasticNet,0.0003
0.01,256.0,Val_F1,Kruskal-Wallis,0.02491,FixedL1,0.9995,True,ElasticNet,0.0003
