Method,Learning_Rate,Batch_Size,Total_Training_Time_Minutes,experiment_suffix,batch_size,adaptive_method
AdaptiveL1L2,0.01,128,22.16639450788498,GGAR1,128,Adaptive
ElasticNet,0.01,128,24.916489374637603,GGAR1,128,ElasticNet
FixedL1,0.01,128,22.92598836819331,GGAR1,128,FixedL1
FixedL2,0.01,128,26.43783967892329,GGAR1,128,FixedL2
GGAR,0.01,128,26.73674508333206,GGAR1,128,GGAR
MLP,0.01,128,26.8250257174174,GGAR1,128,MLP
AdaptiveL1L2,0.01,256,12.408695729573568,GGAR1,256,Adaptive
ElasticNet,0.01,256,13.556293745835625,GGAR1,256,ElasticNet
FixedL1,0.01,256,11.88398309548696,GGAR1,256,FixedL1
FixedL2,0.01,256,13.295310560862225,GGAR1,256,FixedL2
GGAR,0.01,256,15.120059752464297,GGAR1,256,GGAR
MLP,0.01,256,15.843377768993378,GGAR1,256,MLP
AdaptiveL1L2,0.01,32,62.3336297750473,GGAR1,32,Adaptive
ElasticNet,0.01,32,61.12648884455363,GGAR1,32,ElasticNet
FixedL1,0.01,32,42.12719490130743,GGAR1,32,FixedL1
FixedL2,0.01,32,182.04841213623683,GGAR1,32,FixedL2
GGAR,0.01,32,108.57814678351085,GGAR1,32,GGAR
MLP,0.01,32,88.49871410926183,GGAR1,32,MLP
AdaptiveL1L2,0.01,64,51.36946106354396,GGAR1,64,Adaptive
ElasticNet,0.01,64,50.26609547932943,GGAR1,64,ElasticNet
FixedL1,0.01,64,45.52325507005056,GGAR1,64,FixedL1
FixedL2,0.01,64,47.114699618021646,GGAR1,64,FixedL2
GGAR,0.01,64,55.69982040723165,GGAR1,64,GGAR
MLP,0.01,64,61.249624868234,GGAR1,64,MLP
AdaptiveL1L2,0.001,128,18.4261878212293,GGAR2,128,Adaptive
ElasticNet,0.001,128,21.23435435692469,GGAR2,128,ElasticNet
FixedL1,0.001,128,22.002751525243124,GGAR2,128,FixedL1
FixedL2,0.001,128,20.27967529296875,GGAR2,128,FixedL2
GGAR,0.001,128,25.5034942428271,GGAR2,128,GGAR
MLP,0.001,128,22.018335394064582,GGAR2,128,MLP
AdaptiveL1L2,0.001,256,14.86876673301061,GGAR2,256,Adaptive
ElasticNet,0.001,256,17.927703166007994,GGAR2,256,ElasticNet
FixedL1,0.001,256,13.778016515572864,GGAR2,256,FixedL1
FixedL2,0.001,256,15.33638821442922,GGAR2,256,FixedL2
GGAR,0.001,256,24.10866460005442,GGAR2,256,GGAR
MLP,0.001,256,18.90658520460129,GGAR2,256,MLP
AdaptiveL1L2,0.001,32,40.51260218620301,GGAR2,32,Adaptive
ElasticNet,0.001,32,34.73228141466777,GGAR2,32,ElasticNet
FixedL1,0.001,32,38.418659504254656,GGAR2,32,FixedL1
FixedL2,0.001,32,36.40036745468775,GGAR2,32,FixedL2
GGAR,0.001,32,43.57895626227061,GGAR2,32,GGAR
MLP,0.001,32,44.113996489842734,GGAR2,32,MLP
AdaptiveL1L2,0.001,64,22.16416602929433,GGAR2,64,Adaptive
ElasticNet,0.001,64,26.99634393453598,GGAR2,64,ElasticNet
FixedL1,0.001,64,21.52969487508138,GGAR2,64,FixedL1
FixedL2,0.001,64,24.43274650971095,GGAR2,64,FixedL2
GGAR,0.001,64,26.25561113357544,GGAR2,64,GGAR
MLP,0.001,64,27.40689903100332,GGAR2,64,MLP
AdaptiveL1L2,0.0001,128,13.301319460074106,GGAR3,128,Adaptive
ElasticNet,0.0001,128,16.898692472775778,GGAR3,128,ElasticNet
FixedL1,0.0001,128,13.941666201750438,GGAR3,128,FixedL1
FixedL2,0.0001,128,13.159460604190826,GGAR3,128,FixedL2
GGAR,0.0001,128,17.9395743727684,GGAR3,128,GGAR
MLP,0.0001,128,18.539326294263205,GGAR3,128,MLP
AdaptiveL1L2,0.0001,256,10.268110048770904,GGAR3,256,Adaptive
ElasticNet,0.0001,256,9.5518626054128,GGAR3,256,ElasticNet
FixedL1,0.0001,256,10.58997700214386,GGAR3,256,FixedL1
FixedL2,0.0001,256,10.71863572994868,GGAR3,256,FixedL2
GGAR,0.0001,256,13.285473322868349,GGAR3,256,GGAR
MLP,0.0001,256,12.05027796427409,GGAR3,256,MLP
AdaptiveL1L2,0.0001,32,38.337039526303606,GGAR3,32,Adaptive
ElasticNet,0.0001,32,52.17159366210301,GGAR3,32,ElasticNet
FixedL1,0.0001,32,38.02500071922938,GGAR3,32,FixedL1
FixedL2,0.0001,32,46.798496476809184,GGAR3,32,FixedL2
GGAR,0.0001,32,62.99726610978444,GGAR3,32,GGAR
MLP,0.0001,32,64.89785223007202,GGAR3,32,MLP
AdaptiveL1L2,0.0001,64,27.37666352589925,GGAR3,64,Adaptive
ElasticNet,0.0001,64,27.739772391319278,GGAR3,64,ElasticNet
FixedL1,0.0001,64,27.27088601986567,GGAR3,64,FixedL1
FixedL2,0.0001,64,27.53214931090673,GGAR3,64,FixedL2
GGAR,0.0001,64,34.27356811364492,GGAR3,64,GGAR
MLP,0.0001,64,34.19824171463649,GGAR3,64,MLP
